epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,5197.1,0.24772,0.29342,0.92325,0.98349,0.964,0.97503,0.88675,0.46382,0.36255,0.91443,0.000154982,0.000154982,0.000154982
92,5253.8,0.24435,0.28748,0.91838,0.98292,0.96153,0.97582,0.88433,0.4574,0.35882,0.9087,0.00014594,0.00014594,0.00014594
93,5310.57,0.24729,0.28558,0.92142,0.98026,0.95705,0.97585,0.88848,0.45985,0.3484,0.90802,0.000137143,0.000137143,0.000137143
94,5367.02,0.24466,0.28192,0.91635,0.98183,0.95574,0.97621,0.88674,0.45661,0.35375,0.90038,0.000128599,0.000128599,0.000128599
95,5424.1,0.24129,0.28187,0.91947,0.9838,0.95893,0.97649,0.89195,0.45357,0.35119,0.89703,0.000120313,0.000120313,0.000120313
96,5481.27,0.2407,0.28123,0.91673,0.97364,0.96444,0.97736,0.88929,0.46227,0.3606,0.90766,0.00011229,0.00011229,0.00011229
97,5538.94,0.23933,0.27336,0.91591,0.98732,0.95345,0.97531,0.88872,0.46253,0.35978,0.91046,0.000104537,0.000104537,0.000104537
98,5596.38,0.23781,0.27752,0.91549,0.98788,0.95436,0.97473,0.88708,0.46091,0.35112,0.90899,9.70575e-05,9.70575e-05,9.70575e-05
99,5652.83,0.2371,0.27384,0.9149,0.98527,0.96197,0.97687,0.88722,0.46371,0.34665,0.91202,8.98581e-05,8.98581e-05,8.98581e-05
100,5709.32,0.23825,0.27509,0.9154,0.97668,0.96611,0.9761,0.88479,0.46102,0.34809,0.90736,8.29431e-05,8.29431e-05,8.29431e-05
101,5765.66,0.23832,0.27524,0.91707,0.98114,0.9638,0.9755,0.88279,0.46182,0.35359,0.9078,7.63174e-05,7.63174e-05,7.63174e-05
102,5822.37,0.23665,0.27038,0.91586,0.98857,0.95322,0.97579,0.88615,0.46238,0.34448,0.90996,6.99855e-05,6.99855e-05,6.99855e-05
103,5879.16,0.23447,0.26733,0.91413,0.98663,0.95366,0.97634,0.89129,0.45292,0.34478,0.89897,6.39518e-05,6.39518e-05,6.39518e-05
104,5935.83,inf,0.26793,0.91546,0.98221,0.96087,0.9762,0.89153,0.45051,0.34654,0.89592,5.82203e-05,5.82203e-05,5.82203e-05
105,5992.65,0.23134,0.26573,0.91078,0.98269,0.96331,0.97617,0.89149,0.45534,0.35076,0.90038,5.2795e-05,5.2795e-05,5.2795e-05
106,6049.28,0.23107,0.26804,0.91398,0.9827,0.96423,0.97708,0.89267,0.45523,0.35215,0.90002,4.76796e-05,4.76796e-05,4.76796e-05
107,6105.95,0.23048,0.26449,0.91181,0.98611,0.95775,0.97744,0.89119,0.45302,0.35056,0.8993,4.28777e-05,4.28777e-05,4.28777e-05
108,6162.39,0.23174,0.26429,0.91286,0.98465,0.96378,0.97748,0.89439,0.44941,0.34809,0.89566,3.83925e-05,3.83925e-05,3.83925e-05
109,6218.98,0.23319,0.26647,0.91522,0.99122,0.95727,0.97737,0.89254,0.45146,0.34856,0.89717,3.4227e-05,3.4227e-05,3.4227e-05
110,6276.22,0.22785,0.26334,0.91293,0.99174,0.95815,0.97811,0.893,0.45411,0.34932,0.90069,3.03842e-05,3.03842e-05,3.03842e-05
111,6342.37,0.20606,0.19927,0.90366,0.98185,0.96117,0.9762,0.88662,0.45181,0.34507,0.89469,2.68667e-05,2.68667e-05,2.68667e-05
112,6399.86,0.19603,0.17994,0.89579,0.97917,0.96244,0.97604,0.884,0.44969,0.34667,0.89133,2.36769e-05,2.36769e-05,2.36769e-05
113,6456.78,0.19072,0.17399,0.8923,0.97638,0.96474,0.9753,0.88632,0.44718,0.34843,0.88816,2.08169e-05,2.08169e-05,2.08169e-05
114,6514.18,0.19121,0.17491,0.88839,0.97611,0.96595,0.975,0.88837,0.44337,0.34689,0.88422,1.82888e-05,1.82888e-05,1.82888e-05
115,6571.51,0.18806,0.17293,0.88764,0.97519,0.96489,0.97512,0.88942,0.44363,0.34629,0.88562,1.60943e-05,1.60943e-05,1.60943e-05
116,6628.64,0.18821,0.17112,0.88738,0.97629,0.96529,0.97529,0.88989,0.44198,0.34712,0.88347,1.42348e-05,1.42348e-05,1.42348e-05
117,6686.02,0.18965,0.17145,0.89143,0.97672,0.96483,0.97552,0.89082,0.44083,0.34475,0.88228,1.27117e-05,1.27117e-05,1.27117e-05
118,6741.84,0.18598,0.16594,0.88728,0.9794,0.96396,0.97583,0.89186,0.44004,0.3433,0.88038,1.15259e-05,1.15259e-05,1.15259e-05
119,6799.03,0.18719,0.16361,0.88756,0.98261,0.96232,0.97614,0.89175,0.44099,0.34217,0.88139,1.06784e-05,1.06784e-05,1.06784e-05
120,6855.04,0.18566,0.16398,0.88893,0.9779,0.96292,0.97638,0.89237,0.44062,0.34075,0.88152,1.01696e-05,1.01696e-05,1.01696e-05
